Ref,Val,Package,PosX,PosY,Rot,Side
"C1",".1uF","C_0402_1005Metric",146.000000,-68.000000,270.000000,top
"C2",".1uF","C_0402_1005Metric",109.500000,-75.250000,180.000000,top
"D1","LED_Red","LED_0603_1608Metric",77.100000,-76.490000,0.000000,top
"D2","LED_Red","LED_0603_1608Metric",87.370000,-76.500000,180.000000,top
"D3","D_TVS","D_SOD-123",124.500000,-56.000000,270.000000,top
"D4","D_TVS","D_SOD-123",123.500000,-61.500000,90.000000,top
"D5","D_TVS","D_SOD-123",98.500000,-61.500000,90.000000,top
"D6","D_TVS","D_SOD-123",97.500000,-56.000000,270.000000,top
"D7","LED_Green","LED_0603_1608Metric",68.000000,-138.000000,270.000000,top
"D8","LED_Green","LED_0603_1608Metric",68.000000,-123.000000,270.000000,top
"D9","LED_Green","LED_0603_1608Metric",68.000000,-108.000000,270.000000,top
"D10","LED_Green","LED_0603_1608Metric",68.000000,-92.712500,270.000000,top
"D11","D_TVS","D_SOD-123",56.500000,-133.000000,270.000000,top
"D12","D_TVS","D_SOD-123",56.500000,-117.420000,270.000000,top
"D13","D_TVS","D_SOD-123",56.500000,-102.500000,270.000000,top
"D14","D_TVS","D_SOD-123",56.500000,-87.500000,270.000000,top
"D15","LED_Green","LED_0603_1608Metric",93.000000,-138.000000,270.000000,top
"D16","LED_Green","LED_0603_1608Metric",93.000000,-123.000000,270.000000,top
"D17","LED_Green","LED_0603_1608Metric",93.000000,-108.000000,270.000000,top
"D18","LED_Green","LED_0603_1608Metric",93.000000,-93.000000,270.000000,top
"D19","D_TVS","D_SOD-123",81.500000,-133.000000,270.000000,top
"D20","D_TVS","D_SOD-123",81.500000,-118.000000,270.000000,top
"D21","D_TVS","D_SOD-123",81.500000,-102.500000,270.000000,top
"D22","D_TVS","D_SOD-123",81.500000,-88.000000,270.000000,top
"D23","LED_Green","LED_0603_1608Metric",118.500000,-138.000000,270.000000,top
"D24","LED_Green","LED_0603_1608Metric",118.500000,-123.000000,270.000000,top
"D25","LED_Green","LED_0603_1608Metric",118.500000,-108.000000,270.000000,top
"D26","LED_Green","LED_0603_1608Metric",118.500000,-93.000000,270.000000,top
"D27","D_TVS","D_SOD-123",107.000000,-133.000000,270.000000,top
"D28","D_TVS","D_SOD-123",107.000000,-118.000000,270.000000,top
"D29","D_TVS","D_SOD-123",107.000000,-102.500000,270.000000,top
"D30","D_TVS","D_SOD-123",107.000000,-87.500000,270.000000,top
"D31","LED_Green","LED_0603_1608Metric",142.500000,-138.000000,270.000000,top
"D32","LED_Green","LED_0603_1608Metric",142.500000,-123.000000,270.000000,top
"D33","LED_Green","LED_0603_1608Metric",142.500000,-108.000000,270.000000,top
"D34","LED_Green","LED_0603_1608Metric",142.500000,-93.000000,270.000000,top
"D35","D_TVS","D_SOD-123",131.000000,-133.000000,270.000000,top
"D36","D_TVS","D_SOD-123",131.000000,-117.500000,270.000000,top
"D37","D_TVS","D_SOD-123",131.000000,-102.500000,270.000000,top
"D38","D_TVS","D_SOD-123",131.000000,-87.500000,270.000000,top
"F1","8A","Fuse_2920_7451Metric",60.000000,-69.000000,180.000000,top
"F2","1A","Fuse_1206_3216Metric",59.500000,-133.000000,270.000000,top
"F3","1A","Fuse_1206_3216Metric",59.500000,-117.500000,270.000000,top
"F4","1A","Fuse_1206_3216Metric",59.500000,-102.500000,270.000000,top
"F5","1A","Fuse_1206_3216Metric",59.500000,-87.500000,270.000000,top
"F6","1A","Fuse_1206_3216Metric",84.500000,-133.000000,270.000000,top
"F7","1A","Fuse_1206_3216Metric",84.500000,-118.000000,270.000000,top
"F8","1A","Fuse_1206_3216Metric",84.500000,-102.500000,270.000000,top
"F9","1A","Fuse_1206_3216Metric",84.500000,-88.000000,270.000000,top
"F10","1A","Fuse_1206_3216Metric",110.000000,-133.000000,270.000000,top
"F11","1A","Fuse_1206_3216Metric",110.000000,-118.000000,270.000000,top
"F12","1A","Fuse_1206_3216Metric",110.000000,-102.500000,270.000000,top
"F13","1A","Fuse_1206_3216Metric",110.000000,-87.500000,270.000000,top
"F14","1A","Fuse_1206_3216Metric",134.000000,-133.000000,270.000000,top
"F15","1A","Fuse_1206_3216Metric",134.000000,-117.500000,270.000000,top
"F16","1A","Fuse_1206_3216Metric",134.000000,-102.500000,270.000000,top
"F17","1A","Fuse_1206_3216Metric",134.000000,-87.500000,270.000000,top
"Q1","AO3400A","SOT-23",63.000000,-133.000000,180.000000,top
"Q2","AO3400A","SOT-23",63.000000,-117.420000,180.000000,top
"Q3","AO3400A","SOT-23",63.000000,-102.500000,180.000000,top
"Q4","AO3400A","SOT-23",63.000000,-87.500000,180.000000,top
"Q5","AO3400A","SOT-23",88.000000,-133.000000,180.000000,top
"Q6","AO3400A","SOT-23",88.000000,-118.000000,180.000000,top
"Q7","AO3400A","SOT-23",88.000000,-102.500000,180.000000,top
"Q8","AO3400A","SOT-23",88.000000,-88.000000,180.000000,top
"Q9","AO3400A","SOT-23",113.500000,-133.000000,180.000000,top
"Q10","AO3400A","SOT-23",113.500000,-118.000000,180.000000,top
"Q11","AO3400A","SOT-23",113.500000,-102.500000,180.000000,top
"Q12","AO3400A","SOT-23",113.500000,-87.500000,180.000000,top
"Q13","AO3400A","SOT-23",137.500000,-133.000000,180.000000,top
"Q14","AO3400A","SOT-23",137.500000,-117.500000,180.000000,top
"Q15","AO3400A","SOT-23",137.500000,-102.500000,180.000000,top
"Q16","AO3400A","SOT-23",137.500000,-87.500000,180.000000,top
"R1","6.8k","R_0402_1005Metric",77.000000,-78.000000,180.000000,top
"R2","2k","R_0402_1005Metric",87.500000,-78.000000,0.000000,top
"R3","6.8k","R_0402_1005Metric",130.000000,-59.750000,90.000000,top
"R4","6.8k","R_0402_1005Metric",130.000000,-57.250000,90.000000,top
"R5","6.8k","R_0402_1005Metric",130.000000,-54.750000,90.000000,top
"R6","750","R_1206_3216Metric",121.500000,-56.000000,90.000000,top
"R7","750","R_1206_3216Metric",120.500000,-61.500000,270.000000,top
"R8","2k","R_0402_1005Metric",143.600000,-78.000000,180.000000,top
"R9","2k","R_0402_1005Metric",138.500000,-78.000000,0.000000,top
"R10","750","R_1206_3216Metric",95.750000,-61.500000,270.000000,top
"R11","750","R_1206_3216Metric",94.500000,-56.000000,90.000000,top
"R12","1M","R_0402_1005Metric",66.500000,-131.500000,180.000000,top
"R13","1M","R_0402_1005Metric",66.500000,-116.000000,180.000000,top
"R14","1M","R_0402_1005Metric",66.500000,-101.000000,180.000000,top
"R15","1M","R_0402_1005Metric",66.500000,-86.000000,180.000000,top
"R16","300","R_0402_1005Metric",66.500000,-133.000000,0.000000,top
"R17","300","R_0402_1005Metric",66.500000,-117.500000,0.000000,top
"R18","300","R_0402_1005Metric",66.500000,-102.500000,0.000000,top
"R19","300","R_0402_1005Metric",66.500000,-87.500000,0.000000,top
"R20","6.8k","R_0402_1005Metric",66.500000,-134.500000,0.000000,top
"R21","6.8k","R_0402_1005Metric",66.500000,-119.000000,0.000000,top
"R22","6.8k","R_0402_1005Metric",66.500000,-104.000000,0.000000,top
"R23","6.8k","R_0402_1005Metric",66.500000,-89.000000,0.000000,top
"R24","1M","R_0402_1005Metric",91.500000,-131.500000,180.000000,top
"R25","1M","R_0402_1005Metric",91.500000,-116.500000,180.000000,top
"R26","1M","R_0402_1005Metric",91.500000,-101.000000,180.000000,top
"R27","1M","R_0402_1005Metric",91.500000,-86.500000,180.000000,top
"R28","300","R_0402_1005Metric",91.500000,-133.000000,0.000000,top
"R29","300","R_0402_1005Metric",91.500000,-118.000000,0.000000,top
"R30","300","R_0402_1005Metric",91.500000,-102.500000,0.000000,top
"R31","300","R_0402_1005Metric",91.500000,-88.000000,0.000000,top
"R32","6.8k","R_0402_1005Metric",91.500000,-134.500000,0.000000,top
"R33","6.8k","R_0402_1005Metric",91.500000,-119.500000,0.000000,top
"R34","6.8k","R_0402_1005Metric",91.500000,-104.000000,0.000000,top
"R35","6.8k","R_0402_1005Metric",91.500000,-89.500000,0.000000,top
"R36","1M","R_0402_1005Metric",117.000000,-131.500000,180.000000,top
"R37","1M","R_0402_1005Metric",117.000000,-116.500000,180.000000,top
"R38","1M","R_0402_1005Metric",117.000000,-101.000000,180.000000,top
"R39","1M","R_0402_1005Metric",117.000000,-86.000000,180.000000,top
"R40","300","R_0402_1005Metric",117.000000,-133.000000,0.000000,top
"R41","300","R_0402_1005Metric",117.000000,-118.000000,0.000000,top
"R42","300","R_0402_1005Metric",117.000000,-102.500000,0.000000,top
"R43","300","R_0402_1005Metric",117.000000,-87.500000,0.000000,top
"R44","6.8k","R_0402_1005Metric",117.000000,-134.500000,0.000000,top
"R45","6.8k","R_0402_1005Metric",117.000000,-119.500000,0.000000,top
"R46","6.8k","R_0402_1005Metric",117.000000,-104.000000,0.000000,top
"R47","6.8k","R_0402_1005Metric",117.000000,-89.000000,0.000000,top
"R48","1M","R_0402_1005Metric",141.000000,-131.500000,180.000000,top
"R49","1M","R_0402_1005Metric",141.000000,-116.000000,180.000000,top
"R50","1M","R_0402_1005Metric",141.000000,-101.000000,180.000000,top
"R51","1M","R_0402_1005Metric",141.000000,-86.000000,180.000000,top
"R52","300","R_0402_1005Metric",141.000000,-133.000000,0.000000,top
"R53","300","R_0402_1005Metric",141.000000,-117.500000,0.000000,top
"R54","300","R_0402_1005Metric",141.000000,-102.500000,0.000000,top
"R55","300","R_0402_1005Metric",141.000000,-87.500000,0.000000,top
"R56","6.8k","R_0402_1005Metric",141.000000,-134.500000,0.000000,top
"R57","6.8k","R_0402_1005Metric",141.000000,-119.000000,0.000000,top
"R58","6.8k","R_0402_1005Metric",141.000000,-104.000000,0.000000,top
"R59","6.8k","R_0402_1005Metric",141.000000,-89.000000,0.000000,top
"U1","P82B96TD,118","P82B96TD,118",109.500000,-71.750000,180.000000,top
"U2","MCP23017","SOIC-28W_7.5x17.9mm_P1.27mm",136.000000,-71.000000,90.000000,top
